index,name,selling_price,km_driven,fuel,seller_type,transmission,owner,company,year_old_2023
3454,SX4 Zxi,350000,10000,Petrol,Individual,Manual,First Owner,Maruti,15
1142,E-Class E250,2500000,35000,Diesel,Individual,Automatic,First Owner,Mercedes-Benz,11
24,Superb Ambition,450000,130400,Diesel,Dealer,Automatic,Second Owner,Skoda,12
1146,Quanto C6,285000,120000,Diesel,Individual,Manual,Second Owner,Mahindra,10
2671,Wagon R,175000,54551,Petrol,Dealer,Manual,First Owner,Maruti,15
1583,Eeco 7,325000,39093,Petrol,Dealer,Manual,First Owner,Maruti,9
1092,Swift Dzire,250000,80659,Petrol,Dealer,Manual,First Owner,Maruti,14
3173,KWID RXE,300000,20000,Petrol,Individual,Manual,First Owner,Renault,7
3206,Quanto C6,285000,89126,Diesel,Individual,Manual,First Owner,Mahindra,9
2670,Alto 800,265000,32933,Petrol,Dealer,Manual,First Owner,Maruti,8
392,Swift Glam,250000,70000,Petrol,Individual,Manual,First Owner,Maruti,14
758,Innova Crysta,1700000,5000,Diesel,Individual,Manual,First Owner,Toyota,5
2238,Swift VDI,350000,60000,Diesel,Individual,Manual,Second Owner,Maruti,8
1005,Amaze V,725000,26000,Petrol,Dealer,Automatic,First Owner,Honda,5
1623,Swift Dzire,715000,25000,Diesel,Individual,Automatic,First Owner,Maruti,6
1155,Optra 1.6,60000,126000,Petrol,Individual,Manual,Second Owner,Chevrolet,18
1512,Swift Dzire,430000,73000,Diesel,Individual,Manual,Third Owner,Maruti,8
1087,Indica Vista,140000,90000,Diesel,Individual,Manual,Third Owner,Tata,12
2894,Xylo Celebration,200000,240000,Diesel,Individual,Manual,Third Owner,Mahindra,13
2480,Santro LP,80000,70000,Petrol,Individual,Manual,Second Owner,Hyundai,21
